from_stop_id,to_stop_id,transfer_type,min_transfer_time
86,86,2,1
256,256,2,1
256,5031,2,1
5031,256,2,1
5031,5031,2,1
277,277,2,1
336,336,2,1
362,362,2,1
362,3516,2,3
362,5008,2,1
3516,362,2,3
3516,3516,2,1
3516,5008,2,3
5008,362,2,1
5008,3516,2,3
5008,5008,2,1
378,378,2,1
379,379,2,1
380,380,2,1
383,383,2,1
411,411,2,1
412,412,2,1
414,414,2,1
415,415,2,1
416,416,2,1
450,450,2,1
450,5262,2,1
450,5318,2,1
5262,450,2,1
5262,5262,2,1
5262,5318,2,3
5318,450,2,1
5318,5262,2,3
5318,5318,2,1
451,451,2,1
454,454,2,1
455,455,2,1
478,478,2,1
479,479,2,1
505,505,2,1
535,535,2,1
536,536,2,1
537,537,2,1
573,573,2,1
601,601,2,1
1097,1097,2,1
1215,1215,2,1
1270,1270,2,1
1329,1329,2,1
1361,1361,2,1
1362,1362,2,1
1400,1400,2,1
1401,1401,2,1
1402,1402,2,1
1403,1403,2,1
1404,1404,2,1
1406,1406,2,1
1435,1435,2,1
1436,1436,2,1
1437,1437,2,1
1493,1493,2,1
1494,1494,2,1
1502,1502,2,1
1544,1544,2,1
1603,1603,2,1
1605,1605,2,1
1721,1721,2,1
1722,1722,2,1
1723,1723,2,1
1724,1724,2,1
1726,1726,2,1
1944,1944,2,1
1944,1946,2,1
1946,1944,2,1
1946,1946,2,1
1970,1970,2,1
2003,2003,2,1
2022,2022,2,1
2184,2184,2,1
2306,2306,2,1
2313,2313,2,1
2313,5177,2,2
5177,2313,2,2
5177,5177,2,1
2314,2314,2,1
2319,2319,2,1
3521,3521,2,1
2326,2326,2,1
2326,3523,2,1
3523,2326,2,1
3523,3523,2,1
3550,3550,2,1
3551,3551,2,1
3584,3584,2,1
3845,3845,2,1
4135,4135,2,1
4138,4138,2,1
4294,4294,2,1
4352,4352,2,1
4442,4442,2,1
4838,4838,2,1
4915,4915,2,1
4944,4944,2,1
4975,4975,2,1
4978,4978,2,1
5032,5032,2,1
5034,5034,2,1
5035,5035,2,1
5036,5036,2,1
5037,5037,2,1
